ward_name,flood_houses,total_houses
Azimio,"0","8599"
Bonyokwa,"0","5644"
Buguruni,"0","8706"
Bunju,"0","25522"
Buza,"0","12601"
Chamazi,"0","46388"
Chang'ombe,"0","4150"
Chanika,"0","29424"
Charambe,"0","19104"
Gerezani,"0","419"
Goba,"0","34391"
Gongolamboto,"0","13440"
Hananasifu,"77","5097"
Ilala,"0","6111"
Jangwani,"262","1341"
Kariakoo,"0","584"
Kawe,"8269","18177"
Keko,"0","6569"
Kibada,"0","6413"
Kibamba,"0","13296"
Kiburugwa,"0","12416"
Kigamboni,"0","5310"
Kigogo,"1799","10593"
Kijichi,"343","13094"
Kijitonyama,"2917","11063"
Kilakala,"0","6903"
Kimanga,"0","9346"
Kimara,"0","26456"
Kimbiji,"0","3889"
Kinondoni,"0","4716"
Kinyerezi,"0","14614"
Kipawa,"0","18398"
Kisarawe II,"0","12180"
Kisukuru,"0","9881"
Kisutu,"0","428"
Kitunda,"0","26888"
Kivukoni,"0","1534"
Kivule,"0","34392"
Kiwalani,"0","13201"
Kunduchi,"19220","22792"
Kurasini,"0","4047"
Kwembe,"0","29750"
Liwiti,"0","8861"
Mabibo,"5327","15772"
Mabwepande,"0","21369"
Magomeni,"11","2953"
Majohe,"0","56849"
Makangarawe,"0","9920"
Makongo,"0","9583"
Makuburi,"1062","11047"
Makumbusho,"3509","8742"
Makurumla,"1202","7705"
Manzese,"1546","8695"
Mbagala,"0","9599"
Mbagala Kuu,"1373","16799"
Mbezi,"0","39229"
Mbezi Juu,"2125","11691"
Mburahati,"1497","5285"
Mbweni,"0","9157"
Mchafukoge,"0","659"
Mchikichini,"1318","4670"
Mianzini,"0","22622"
Miburani,"0","6694"
Mikocheni,"6553","10125"
Mjimwema,"0","11262"
Mnyamani,"203","6957"
Msasani,"4700","12886"
Msigani,"0","18135"
Msongola,"0","31252"
Mtoni,"0","7852"
Mwananyamala,"2332","9581"
Mzimuni,"327","4444"
Ndugumbi,"2531","5290"
Pemba Mnazi,"0","5308"
Pugu,"0","16435"
Pugu Station,"0","13579"
Sandali,"0","9004"
Saranga,"0","36909"
Segerea,"0","11121"
Sinza,"648","9092"
Somangila,"0","18124"
Tabata,"418","15851"
Tandale,"4437","6743"
Tandika,"0","5769"
Temeke,"0","4761"
Toangoma,"5219","31588"
Tungi,"0","5591"
Ubungo,"262","11090"
Ukonga,"0","16923"
Upanga Magharibi,"261","1068"
Upanga Mashariki,"26","2203"
Vijibweni,"0","11129"
Vingunguti,"311","12343"
Wazo,"21706","40850"
Yombo Vituka,"0","15343"
,"332","28056"
